vehicle_id,position_x,position_y,position_z,mvec_x,mvec_y,mvec_z,bbox_x_min,bbox_x_max,bbox_y_min,bbox_y_max,bbox_z_min,bbox_z_max
0,34.811937330000006,11.145040033,0.83637924495,0.058361059999995746,-0.013767242500001942,-0.05168061320000006,34.09272003,35.53115463,8.927402496,13.36267757,0.2115544379,1.461204052
1,31.542984009999998,17.32167578,0.8285179064499999,-0.2842216499999992,0.04916762999999946,0.05141849055000014,30.71173859,32.37422943,15.68139935,18.96195221,0.1879361719,1.469099641
2,27.871644019999998,-9.7232449055,0.8333068192,0.02167701500000163,-0.0017788405000001006,0.041368231099999986,26.97805405,28.76523399,-12.04065609,-7.405833721,0.2165536284,1.45006001
3,24.33079815,-12.241427425000001,0.76872041804,0.08889579999999953,-0.3017625749999979,0.12480871416000006,23.67583847,24.98575783,-13.76511574,-10.71773911,0.05069500208,1.486745834
5,24.970749855,-0.1791765689999999,0.8047264293,0.020513534999999194,-0.00945365450000002,-0.05159453869000008,22.92135811,27.0201416,-1.679012775,1.320659637,0.1415270716,1.467925787
1,19.30855751,5.7557373045,0.89143413315,-0.07896709500000298,0.05074501050000002,-0.07845139504999998,17.68804359,20.92907143,5.054678917,6.456795692,0.2919311523,1.490937114
