vehicle_id,position_x,position_y,position_z,mvec_x,mvec_y,mvec_z,bbox_x_min,bbox_x_max,bbox_y_min,bbox_y_max,bbox_z_min,bbox_z_max
0,28.2381773,-42.09487534,0.7804013564,0.032363889999999174,-0.08982849000000215,-0.018223732800000003,27.50254059,28.97381401,-43.12429047,-41.06546021,0.1762721688,1.384530544
1,24.660559655,-44.588274,0.7164603620500001,0.02119350000000253,-0.09033965999999793,-0.01619756200000011,24.40975952,24.91135979,-45.06198883,-44.11455917,0.2806680501,1.152252674
1,-13.43597078,5.850174427,0.878664866,-0.05080796000000021,-0.053394317499999566,-0.02189301695000001,-14.77377319,-12.09816837,5.237462044,6.46288681,0.277487427,1.479842305
2,-8.060692549,2.4790611265,0.8845240177,-0.053088426499998675,0.011002063999999923,-0.01615972845000002,-9.702665329,-6.418719769,1.636586666,3.321535587,0.3013126254,1.46773541
