vehicle_id,position_x,position_y,position_z,mvec_x,mvec_y,mvec_z,bbox_x_min,bbox_x_max,bbox_y_min,bbox_y_max,bbox_z_min,bbox_z_max
0,34.898281095,53.00460434,1.1108920870499999,0,0,0,34.54989624,35.24666595,52.29220963,53.71699905,0.8331878781,1.388596296
0,28.175765034999998,-50.92705917,1.2622492310000002,-0.13979434499999854,0.21941375000000107,-0.26272872040000017,27.91313171,28.43839836,-51.58210754,-50.2720108,1.055000901,1.469497561
1,-18.98103046,5.915565014,1.0884357991,0.029225345000000402,-0.010716914999999716,0.002279967100000002,-20.58380508,-17.37825584,5.242048264,6.589081764,0.5676284432,1.609243155
2,-16.81337547,2.463546753,1.11387497165,0.01708268499999832,-0.0065815450000004105,0.047341585149999865,-18.38022804,-15.2465229,1.671532631,3.255560875,0.5569119453,1.670837998
