vehicle_id,position_x,position_y,position_z,mvec_x,mvec_y,mvec_z,bbox_x_min,bbox_x_max,bbox_y_min,bbox_y_max,bbox_z_min,bbox_z_max
0,34.75510788,17.28756857,0.86021445715,0.019348145000002148,0.7375421549999999,-0.11278022868000004,34.16292572,35.34729004,15.70608044,18.8690567,0.3111643493,1.409264565
2,31.297172545000002,23.870552065,0.83715301735,0.050968169999997315,-0.009300230000000909,-0.020351215899999997,30.72126579,31.8730793,22.28560257,25.45550156,0.2840071917,1.390298843
2,27.745210645,-15.616701605,0.753931138585,0.03291321000000025,-0.009273050000000893,0.04776989326499992,26.92744064,28.56298065,-17.90438843,-13.32901478,0.04020351917,1.467658758
3,24.30661678,-18.179535865,0.88995414995,0.012778285000003109,-0.057956695000001446,-0.005537986750000057,23.73007774,24.88315582,-19.12334442,-17.23572731,0.3107017279,1.469206572
5,18.835314750000002,2.063247919,0.780039236065,-0.04746246000000198,-0.024322986500000088,-0.006016683110000032,16.58385658,21.08677292,1.106682777,3.019813061,0.08980950713,1.470268965
1,13.005668165,5.820279598,0.7745314816850001,-0.16628265499999983,-0.008369922500000015,0.04928445261499992,11.32414341,14.68719292,5.119693756,6.52086544,0.06160807237,1.487454891
