vehicle_id,position_x,position_y,position_z,mvec_x,mvec_y,mvec_z,bbox_x_min,bbox_x_max,bbox_y_min,bbox_y_max,bbox_z_min,bbox_z_max
0,34.864053725,12.164546014999999,0.8819770066,0.019521715000003326,0.09309005500000112,0.03196761009999993,34.07790375,35.6502037,10.1773119,14.15178013,0.3042819202,1.459672093
1,31.401630405,18.27313423,0.9047855289,0.017245289999998192,0.371366505000001,-0.0163991899,30.717659,32.08560181,16.87620544,19.67006302,0.3386271298,1.470943928
2,27.803041455,-10.5263319025,0.86125685275,-0.01858615999999813,-0.07999229549999853,-0.005214303899999995,26.94376945,28.66231346,-12.77267647,-8.279987335,0.2625615895,1.459952116
3,24.36809349,-13.426213740000001,0.82022691505,0.0097341550000003,-0.08413219499999869,0.0021597818499999866,23.68813324,25.04805374,-14.95844555,-11.89398193,0.1534215361,1.487032294
5,24.064577104999998,0.37976574900000004,0.8156025781499999,-0.1732807199999975,0.17863166350000004,-0.05826320878499991,21.84308434,26.28606987,-1.041376591,1.800908089,0.1610931903,1.470111966
1,18.188729285,5.839535236,0.82592462015,-0.1289873099999994,-0.10072135899999957,0.012339301250000045,16.5172348,19.86022377,5.084680557,6.594389915,0.1592956483,1.492553592
